1566300772.081300, 0.000000 0.000000 0.000000 0 0 0 1
1566300772.182321, 0.000500 -0.018536 0.000000 0 0 0 1
1566300772.283028, -0.011337 -0.000306 0.000000 0 0 0 1
1566300772.381240, -0.010837 -0.018842 0.000000 0 0 0 1
1566300772.481488, -0.011337 -0.000306 0.000000 0 0 0 1
1566300772.785280, -0.011337 -0.000306 0.000000 0 0 0 1
1566300772.881916, -0.011337 -0.000306 0.000000 0 0 0 1
1566300772.991737, -0.011337 -0.000306 0.000000 0 0 0 1
1566300773.098461, -0.011337 -0.000306 0.000000 0 0 0 1
1566300773.199369, -0.011337 -0.000306 0.000000 0 0 0 1
1566300773.300521, 0.000000 0.000000 0.000000 0 0 0 1
1566300773.400884, 0.000000 0.000000 0.000000 0 0 0 1
1566300773.501376, -0.011337 -0.000306 0.000000 0 0 0 1
1566300773.600782, 0.000000 0.000000 0.000000 0 0 0 1
1566300773.698562, -0.011337 -0.000306 0.000000 0 0 0 1
1566300773.791201, -0.010837 -0.018842 0.000000 0 0 0 1
1566300773.895478, -0.011337 -0.000306 0.000000 0 0 0 1
1566300774.000428, -0.010837 -0.018842 0.000000 0 0 0 1
1566300774.097385, -0.021674 -0.037683 0.000000 0 0 0 1
1566300774.196445, -0.010837 -0.018842 0.000000 0 0 0 1
1566300774.283310, -0.022174 -0.019147 0.000000 0 0 0 1
1566300774.399905, -0.010837 -0.018842 0.000000 0 0 0 1
1566300774.497480, -0.010837 -0.018842 0.000000 0 0 0 1
1566300774.597923, -0.010837 -0.018842 0.000000 0 0 0 1
1566300774.689756, -0.010837 -0.018842 0.000000 0 0 0 1
1566300774.794074, 0.000500 -0.018536 0.000000 0 0 0 1
1566300774.894661, -0.010837 -0.018842 0.000000 0 0 0 1
1566300774.986268, 0.000500 -0.018536 0.000000 0 0 0 1
1566300775.098982, 0.000500 -0.018536 0.000000 0 0 0 1
1566300775.195989, 0.000000 0.000000 0.000000 0 0 0 1
1566300775.297673, 0.000500 -0.018536 0.000000 0 0 0 1
1566300775.397388, 0.000000 0.000000 0.000000 0 0 0 1
1566300775.482149, 0.000000 0.000000 0.000000 0 0 0 1
1566300775.591091, 0.000000 0.000000 0.000000 0 0 0 1
1566300775.682060, 0.011337 0.000306 0.000000 0 0 0 1
1566300775.794826, 0.000000 0.000000 0.000000 0 0 0 1
1566300775.894170, 0.000000 0.000000 0.000000 0 0 0 1
1566300775.987804, -0.000500 0.018536 0.000000 0 0 0 1
1566300776.099040, 0.011337 0.000306 0.000000 0 0 0 1
1566300776.777139, 0.034511 -0.017618 0.000000 0 0 0 1
1566300776.887856, 0.034511 -0.017618 0.000000 0 0 0 1
1566300776.984140, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.093110, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.179223, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.292927, 0.045848 -0.017312 0.000000 0 0 0 1
1566300777.374796, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.500669, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.581227, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.700346, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.787994, 0.034511 -0.017618 0.000000 0 0 0 1
1566300777.896939, 0.046348 -0.035848 0.000000 0 0 0 1
1566300777.994173, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.081354, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.188866, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.281712, 0.046348 -0.035848 0.000000 0 0 0 1
1566300778.387889, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.484021, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.589521, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.686415, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.785771, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.882751, 0.045848 -0.017312 0.000000 0 0 0 1
1566300778.990784, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.087862, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.191175, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.284501, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.393893, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.481200, 0.057185 -0.017006 0.000000 0 0 0 1
1566300779.592489, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.681650, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.792276, 0.045848 -0.017312 0.000000 0 0 0 1
1566300779.879280, 0.045848 -0.017312 0.000000 0 0 0 1
1566300780.001747, 0.057185 -0.017006 0.000000 0 0 0 1
1566300780.076321, 0.057185 -0.017006 0.000000 0 0 0 1
1566300780.198305, 0.045848 -0.017312 0.000000 0 0 0 1
1566300780.294262, 0.045848 -0.017312 0.000000 0 0 0 1
1566300780.394158, 0.056685 0.001530 0.000000 0 0 0 1
1566300780.479952, 0.045348 0.001224 0.000000 0 0 0 1
1566300780.597533, 0.057185 -0.017006 0.000000 0 0 0 1
1566300780.678767, 0.056685 0.001530 0.000000 0 0 0 1
1566300780.790530, 0.056685 0.001530 0.000000 0 0 0 1
1566300780.891623, 0.045348 0.001224 0.000000 0 0 0 1
1566300780.996710, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.080758, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.207980, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.297449, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.397734, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.497524, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.597699, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.689315, 0.055685 0.038601 0.000000 0 0 0 1
1566300781.788620, 0.055685 0.038601 0.000000 0 0 0 1
1566300781.884090, 0.056185 0.020065 0.000000 0 0 0 1
1566300781.992390, 0.055685 0.038601 0.000000 0 0 0 1
1566300782.078814, 0.067022 0.038907 0.000000 0 0 0 1
1566300782.179330, 0.055685 0.038601 0.000000 0 0 0 1
1566300782.277349, 0.067022 0.038907 0.000000 0 0 0 1
1566300782.390848, 0.067022 0.038907 0.000000 0 0 0 1
1566300782.506528, 0.055685 0.038601 0.000000 0 0 0 1
1566300782.597445, 0.066522 0.057442 0.000000 0 0 0 1
1566300782.697362, 0.066522 0.057442 0.000000 0 0 0 1
1566300782.788353, 0.066522 0.057442 0.000000 0 0 0 1
1566300782.890817, 0.055185 0.057137 0.000000 0 0 0 1
1566300783.002217, 0.055685 0.038601 0.000000 0 0 0 1
1566300783.094103, 0.066021 0.075978 0.000000 0 0 0 1
1566300783.193557, 0.065521 0.094514 0.000000 0 0 0 1
1566300783.298047, 0.054184 0.094208 0.000000 0 0 0 1
1566300783.397326, 0.054684 0.075672 0.000000 0 0 0 1
1566300783.494041, 0.054184 0.094208 0.000000 0 0 0 1
1566300783.593405, 0.054184 0.094208 0.000000 0 0 0 1
1566300783.692452, 0.054184 0.094208 0.000000 0 0 0 1
1566300783.792940, 0.053684 0.112744 0.000000 0 0 0 1
1566300783.890166, 0.042847 0.093902 0.000000 0 0 0 1
1566300784.000287, 0.042847 0.093902 0.000000 0 0 0 1
1566300784.095172, 0.066021 0.075978 0.000000 0 0 0 1
1566300784.196714, 0.077859 0.057748 0.000000 0 0 0 1
1566300784.297185, 0.077358 0.076284 0.000000 0 0 0 1
1566300784.396891, 0.066021 0.075978 0.000000 0 0 0 1
1566300784.495294, 0.066021 0.075978 0.000000 0 0 0 1
1566300784.592689, 0.065521 0.094514 0.000000 0 0 0 1
1566300784.688900, 0.066021 0.075978 0.000000 0 0 0 1
1566300784.787415, 0.054184 0.094208 0.000000 0 0 0 1
1566300784.892961, 0.053684 0.112744 0.000000 0 0 0 1
1566300784.997386, 0.053684 0.112744 0.000000 0 0 0 1
1566300785.096053, 0.041847 0.130973 0.000000 0 0 0 1
1566300785.197089, 0.041847 0.130973 0.000000 0 0 0 1
1566300785.297048, 0.041847 0.130973 0.000000 0 0 0 1
1566300785.394147, 0.041847 0.130973 0.000000 0 0 0 1
1566300785.488535, 0.030510 0.130667 0.000000 0 0 0 1
1566300785.595864, 0.041347 0.149509 0.000000 0 0 0 1
1566300785.693483, 0.030010 0.149203 0.000000 0 0 0 1
1566300785.793427, 0.030010 0.149203 0.000000 0 0 0 1
1566300785.893171, 0.029510 0.167739 0.100000 0 0 0 1
1566300785.997648, 0.029510 0.167739 0.000000 0 0 0 1
1566300786.097000, 0.029510 0.167739 0.000000 0 0 0 1
1566300786.193573, 0.029510 0.167739 0.000000 0 0 0 1
1566300786.297770, 0.029009 0.186274 0.100000 0 0 0 1
1566300786.389674, 0.029009 0.186274 0.100000 0 0 0 1
1566300786.478987, 0.029009 0.186274 0.100000 0 0 0 1
1566300786.580182, 0.029009 0.186274 0.100000 0 0 0 1
1566300786.679068, 0.029009 0.186274 0.100000 0 0 0 1
1566300786.783576, 0.029009 0.186274 0.100000 0 0 0 1
1566300786.883158, 0.040347 0.186580 0.000000 0 0 0 1
1566300786.990236, 0.039846 0.205116 0.100000 0 0 0 1
1566300787.094408, 0.039846 0.205116 0.100000 0 0 0 1
1566300787.195897, 0.039846 0.205116 0.100000 0 0 0 1
1566300787.290810, 0.039846 0.205116 0.100000 0 0 0 1
1566300787.397634, 0.039846 0.205116 0.100000 0 0 0 1
1566300787.493663, 0.039846 0.205116 0.100000 0 0 0 1
1566300787.593972, 0.039346 0.223652 0.100000 0 0 0 1
1566300787.696783, 0.039346 0.223652 0.100000 0 0 0 1
1566300787.790531, 0.039346 0.223652 0.100000 0 0 0 1
1566300787.893843, 0.038846 0.242187 0.100000 0 0 0 1
1566300787.996014, 0.038846 0.242187 0.100000 0 0 0 1
